field1,_GC_TYPE,_X,_Y
서울특별시 중구 세종대로 110,정,126.9778302186979,37.56631915125895
서울특별시 중구 청계천로 14,정,126.97881783702931,37.5687905012126
서울특별시 중구 세종대로 135 코리아나호텔 1층,정,126.97650717658018,37.568392698653646
서울특별시 중구 청계천로 11 청계11빌딩 아티제 천계 광장점,유,126.97822252757345,37.56882572812223
서울특별시 중구 을지로1가 142-1,정,126.98217238248219,37.56583412294899
서울특별시 중구 장교동 41-2,정,126.98740794259291,37.5673722576187
서울특별시 중구 회현동 122-21,정,126.97096327723315,37.55511576047602
서울특별시 중구 명동9길 29,정,126.98416936931622,37.565066204909826
서울특별시 중구 명동9길 33,정,126.98410018121568,37.56524729871835
서울특별시 중구 명동 199-80,정,126.9842059091871,37.565428526383094
서울특별시 중구 명동4길 16,정,126.98362239611036,37.56300423500351
서울특별시 중구 명동7길 12,정,126.98454542528064,37.56430846228443
서울특별시 중구 명동10길 7,정,126.9853381073482,37.56347592073662
서울특별시 중구 퇴계로20길 49,정,126.98661183097136,37.558087800066616
서울특별시 중구 퇴계로20길 36,정,126.9860479222307,37.55859190444198
서울특별시 중구 동호로10길 13,정,127.01175030706312,37.55470170385559
서울특별시 중구 명동3길 10 엔젤리너스 명동점,정,126.9837009085454,37.5641380228015
서울특별시 중구 명동8나길 51,정,126.98208649574784,37.56109566377416
서울특별시 중구 명동8길 37-14,정,126.9854885377986,37.56197695926099
서울특별시 중구 명동3길 23,정,126.98341638454316,37.564757581140604
서울특별시 중구 동호로 204,정,127.00992808121123,37.55627602304163
서울특별시 중구 동호로 186-5,정,127.01135735096781,37.55464689859586
서울특별시 중구 다산로 114-12,정,127.01088794620684,37.5537129592494
서울특별시 중구 다산로 101-4,정,127.00938284523377,37.55343991519636
서울특별시 중구 명동8가길 9,정,126.98550750741545,37.56179113894924
서울특별시 중구 을지로 35,정,126.98186584128041,37.56649151289532
서울특별시 중구 남대문로5가 538,정,126.97388889474702,37.55621040712836
서울특별시 중구 을지로6가 18-210,정,127.0094532618088,37.56915680172543
서울특별시 중구 다산로 98,정,127.00933095859321,37.55289258016061
